Date,GDPPercentAug,GDPPercentSept,GDIPercentAug,GDIPercentSept
2018-04-01, 2.1, 2.1, 2.9, 3
2018-07-01, 2.5, 2.5, 2.6, 2.7
2018-10-01, 0.6, 0.6, 2.2, 2.2
2019-01-01, 2.2, 2.5, 2.6, 2.6
2019-04-01, 3.4, 3.4, 1.1, 1
2019-07-01, 4.6, 4.8, -7.9, -8.1
2019-10-01, 2.6, 2.8, -2.5, -2.6
2020-01-01, -5.3, -5.5, 0.2, 0.1
2020-04-01, -28, -28.1, 1.6, 1.7
2020-07-01, 34.8, 35.2, 12.5, 12.9
2020-10-01, 4.2, 4.4, 6.6, 7.2
2021-01-01, 5.2, 5.6, 4.4, 5.1
2021-04-01, 6.2, 6.4, 3.7, 4.5
2021-07-01, 3.3, 3.5, 2.5, 3
2021-10-01, 7, 7.4, 2.3, 2.9
2022-01-01, -2, -1, 0, 1
2022-04-01, -0.6, 0.3, 0, 1
2022-07-01, 2.7, 2.7, 0.1, 1.6
2022-10-01, 2.6, 3.4, -0.1, 1.3
2023-01-01, 2.2, 2.8, 1.6, 2.9
2023-04-01, 2.1, 2.4, 1.8, 3.2
2023-07-01, 4.9, 4.4, 2, 3.5
2023-10-01, 3.4, 3.2, 0, 0
2024-01-01, 1.4, 1.6, 0, 0
2024-04-01, 3, 3, 0, 0
