DATE,PAYEMS_CHG_20220107,PAYEMS_CHG_20210205,PAYEMS_CHG_20210305,PAYEMS_CHG_20210402,PAYEMS_CHG_20210507,PAYEMS_CHG_20210604,PAYEMS_CHG_20210702,PAYEMS_CHG_20210806,PAYEMS_CHG_20210903,PAYEMS_CHG_20211008,PAYEMS_CHG_20211105,PAYEMS_CHG_20211203
1948-10-01,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49
1948-11-01,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53
1948-12-01,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160
1949-01-01,-364,-364,-364,-364,-364,-364,-364,-364,-364,-364,-364,-364
1949-02-01,-171,-171,-171,-171,-171,-171,-171,-171,-171,-171,-171,-171
1949-03-01,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257,-257
1949-04-01,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
1949-05-01,-252,-252,-252,-252,-252,-252,-252,-252,-252,-252,-252,-252
1949-06-01,-245,-245,-245,-245,-245,-245,-245,-245,-245,-245,-245,-245
1949-07-01,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208
1949-08-01,93,93,93,93,93,93,93,93,93,93,93,93
1949-09-01,156,156,156,156,156,156,156,156,156,156,156,156
1949-10-01,-838,-838,-838,-838,-838,-838,-838,-838,-838,-838,-838,-838
1949-11-01,300,300,300,300,300,300,300,300,300,300,300,300
1949-12-01,280,280,280,280,280,280,280,280,280,280,280,280
1950-01-01,4,4,4,4,4,4,4,4,4,4,4,4
1950-02-01,-229,-229,-229,-229,-229,-229,-229,-229,-229,-229,-229,-229
1950-03-01,657,657,657,657,657,657,657,657,657,657,657,657
1950-04-01,428,428,428,428,428,428,428,428,428,428,428,428
1950-05-01,336,336,336,336,336,336,336,336,336,336,336,336
1950-06-01,365,365,365,365,365,365,365,365,365,365,365,365
1950-07-01,371,371,371,371,371,371,371,371,371,371,371,371
1950-08-01,738,738,738,738,738,738,738,738,738,738,738,738
1950-09-01,246,246,246,246,246,246,246,246,246,246,246,246
1950-10-01,268,268,268,268,268,268,268,268,268,268,268,268
1950-11-01,70,70,70,70,70,70,70,70,70,70,70,70
1950-12-01,85,85,85,85,85,85,85,85,85,85,85,85
1951-01-01,427,427,427,427,427,427,427,427,427,427,427,427
1951-02-01,289,289,289,289,289,289,289,289,289,289,289,289
1951-03-01,296,296,296,296,296,296,296,296,296,296,296,296
1951-04-01,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
1951-05-01,91,91,91,91,91,91,91,91,91,91,91,91
1951-06-01,112,112,112,112,112,112,112,112,112,112,112,112
1951-07-01,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
1951-08-01,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49
1951-09-01,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58
1951-10-01,52,52,52,52,52,52,52,52,52,52,52,52
1951-11-01,141,141,141,141,141,141,141,141,141,141,141,141
1951-12-01,167,167,167,167,167,167,167,167,167,167,167,167
1952-01-01,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18
1952-02-01,226,226,226,226,226,226,226,226,226,226,226,226
1952-03-01,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18
1952-04-01,116,116,116,116,116,116,116,116,116,116,116,116
1952-05-01,22,22,22,22,22,22,22,22,22,22,22,22
1952-06-01,-360,-360,-360,-360,-360,-360,-360,-360,-360,-360,-360,-360
1952-07-01,-139,-139,-139,-139,-139,-139,-139,-139,-139,-139,-139,-139
1952-08-01,781,781,781,781,781,781,781,781,781,781,781,781
1952-09-01,396,396,396,396,396,396,396,396,396,396,396,396
1952-10-01,277,277,277,277,277,277,277,277,277,277,277,277
1952-11-01,219,219,219,219,219,219,219,219,219,219,219,219
1952-12-01,350,350,350,350,350,350,350,350,350,350,350,350
1953-01-01,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22
1953-02-01,195,195,195,195,195,195,195,195,195,195,195,195
1953-03-01,134,134,134,134,134,134,134,134,134,134,134,134
1953-04-01,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38
1953-05-01,55,55,55,55,55,55,55,55,55,55,55,55
1953-06-01,29,29,29,29,29,29,29,29,29,29,29,29
1953-07-01,17,17,17,17,17,17,17,17,17,17,17,17
1953-08-01,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47,-47
1953-09-01,-121,-121,-121,-121,-121,-121,-121,-121,-121,-121,-121,-121
1953-10-01,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128
1953-11-01,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332,-332
1953-12-01,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205
1954-01-01,-234,-234,-234,-234,-234,-234,-234,-234,-234,-234,-234,-234
1954-02-01,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87,-87
1954-03-01,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225
1954-04-01,22,22,22,22,22,22,22,22,22,22,22,22
1954-05-01,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214
1954-06-01,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70
1954-07-01,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60
1954-08-01,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1954-09-01,60,60,60,60,60,60,60,60,60,60,60,60
1954-10-01,56,56,56,56,56,56,56,56,56,56,56,56
1954-11-01,238,238,238,238,238,238,238,238,238,238,238,238
1954-12-01,151,151,151,151,151,151,151,151,151,151,151,151
1955-01-01,165,165,165,165,165,165,165,165,165,165,165,165
1955-02-01,148,148,148,148,148,148,148,148,148,148,148,148
1955-03-01,318,318,318,318,318,318,318,318,318,318,318,318
1955-04-01,286,286,286,286,286,286,286,286,286,286,286,286
1955-05-01,264,264,264,264,264,264,264,264,264,264,264,264
1955-06-01,278,278,278,278,278,278,278,278,278,278,278,278
1955-07-01,197,197,197,197,197,197,197,197,197,197,197,197
1955-08-01,124,124,124,124,124,124,124,124,124,124,124,124
1955-09-01,155,155,155,155,155,155,155,155,155,155,155,155
1955-10-01,163,163,163,163,163,163,163,163,163,163,163,163
1955-11-01,163,163,163,163,163,163,163,163,163,163,163,163
1955-12-01,213,213,213,213,213,213,213,213,213,213,213,213
1956-01-01,170,170,170,170,170,170,170,170,170,170,170,170
1956-02-01,192,192,192,192,192,192,192,192,192,192,192,192
1956-03-01,127,127,127,127,127,127,127,127,127,127,127,127
1956-04-01,81,81,81,81,81,81,81,81,81,81,81,81
1956-05-01,131,131,131,131,131,131,131,131,131,131,131,131
1956-06-01,80,80,80,80,80,80,80,80,80,80,80,80
1956-07-01,-631,-631,-631,-631,-631,-631,-631,-631,-631,-631,-631,-631
1956-08-01,676,676,676,676,676,676,676,676,676,676,676,676
1956-09-01,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27
1956-10-01,173,173,173,173,173,173,173,173,173,173,173,173
1956-11-01,44,44,44,44,44,44,44,44,44,44,44,44
1956-12-01,108,108,108,108,108,108,108,108,108,108,108,108
1957-01-01,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42
1957-02-01,210,210,210,210,210,210,210,210,210,210,210,210
1957-03-01,59,59,59,59,59,59,59,59,59,59,59,59
1957-04-01,82,82,82,82,82,82,82,82,82,82,82,82
1957-05-01,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1957-06-01,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83
1957-07-01,56,56,56,56,56,56,56,56,56,56,56,56
1957-08-01,5,5,5,5,5,5,5,5,5,5,5,5
1957-09-01,-194,-194,-194,-194,-194,-194,-194,-194,-194,-194,-194,-194
1957-10-01,-171,-171,-171,-171,-171,-171,-171,-171,-171,-171,-171,-171
1957-11-01,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205
1957-12-01,-174,-174,-174,-174,-174,-174,-174,-174,-174,-174,-174,-174
1958-01-01,-308,-308,-308,-308,-308,-308,-308,-308,-308,-308,-308,-308
1958-02-01,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
1958-03-01,-277,-277,-277,-277,-277,-277,-277,-277,-277,-277,-277,-277
1958-04-01,-272,-272,-272,-272,-272,-272,-272,-272,-272,-272,-272,-272
1958-05-01,-113,-113,-113,-113,-113,-113,-113,-113,-113,-113,-113,-113
1958-06-01,0,0,0,0,0,0,0,0,0,0,0,0
1958-07-01,125,125,125,125,125,125,125,125,125,125,125,125
1958-08-01,194,194,194,194,194,194,194,194,194,194,194,194
1958-09-01,273,273,273,273,273,273,273,273,273,273,273,273
1958-10-01,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21
1958-11-01,459,459,459,459,459,459,459,459,459,459,459,459
1958-12-01,141,141,141,141,141,141,141,141,141,141,141,141
1959-01-01,393,393,393,393,393,393,393,393,393,393,393,393
1959-02-01,210,210,210,210,210,210,210,210,210,210,210,210
1959-03-01,326,326,326,326,326,326,326,326,326,326,326,326
1959-04-01,307,307,307,307,307,307,307,307,307,307,307,307
1959-05-01,229,229,229,229,229,229,229,229,229,229,229,229
1959-06-01,131,131,131,131,131,131,131,131,131,131,131,131
1959-07-01,123,123,123,123,123,123,123,123,123,123,123,123
1959-08-01,-468,-468,-468,-468,-468,-468,-468,-468,-468,-468,-468,-468
1959-09-01,92,92,92,92,92,92,92,92,92,92,92,92
1959-10-01,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70
1959-11-01,276,276,276,276,276,276,276,276,276,276,276,276
1959-12-01,540,540,540,540,540,540,540,540,540,540,540,540
1960-01-01,100,100,100,100,100,100,100,100,100,100,100,100
1960-02-01,239,239,239,239,239,239,239,239,239,239,239,239
1960-03-01,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59
1960-04-01,359,359,359,359,359,359,359,359,359,359,359,359
1960-05-01,-338,-338,-338,-338,-338,-338,-338,-338,-338,-338,-338,-338
1960-06-01,-127,-127,-127,-127,-127,-127,-127,-127,-127,-127,-127,-127
1960-07-01,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42
1960-08-01,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34
1960-09-01,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45
1960-10-01,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85
1960-11-01,-181,-181,-181,-181,-181,-181,-181,-181,-181,-181,-181,-181
1960-12-01,-219,-219,-219,-219,-219,-219,-219,-219,-219,-219,-219,-219
1961-01-01,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59,-59
1961-02-01,-126,-126,-126,-126,-126,-126,-126,-126,-126,-126,-126,-126
1961-03-01,102,102,102,102,102,102,102,102,102,102,102,102
1961-04-01,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32
1961-05-01,159,159,159,159,159,159,159,159,159,159,159,159
1961-06-01,191,191,191,191,191,191,191,191,191,191,191,191
1961-07-01,146,146,146,146,146,146,146,146,146,146,146,146
1961-08-01,175,175,175,175,175,175,175,175,175,175,175,175
1961-09-01,90,90,90,90,90,90,90,90,90,90,90,90
1961-10-01,134,134,134,134,134,134,134,134,134,134,134,134
1961-11-01,220,220,220,220,220,220,220,220,220,220,220,220
1961-12-01,130,130,130,130,130,130,130,130,130,130,130,130
1962-01-01,19,19,19,19,19,19,19,19,19,19,19,19
1962-02-01,297,297,297,297,297,297,297,297,297,297,297,297
1962-03-01,87,87,87,87,87,87,87,87,87,87,87,87
1962-04-01,327,327,327,327,327,327,327,327,327,327,327,327
1962-05-01,26,26,26,26,26,26,26,26,26,26,26,26
1962-06-01,16,16,16,16,16,16,16,16,16,16,16,16
1962-07-01,102,102,102,102,102,102,102,102,102,102,102,102
1962-08-01,92,92,92,92,92,92,92,92,92,92,92,92
1962-09-01,140,140,140,140,140,140,140,140,140,140,140,140
1962-10-01,63,63,63,63,63,63,63,63,63,63,63,63
1962-11-01,15,15,15,15,15,15,15,15,15,15,15,15
1962-12-01,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28
1963-01-01,87,87,87,87,87,87,87,87,87,87,87,87
1963-02-01,115,115,115,115,115,115,115,115,115,115,115,115
1963-03-01,90,90,90,90,90,90,90,90,90,90,90,90
1963-04-01,260,260,260,260,260,260,260,260,260,260,260,260
1963-05-01,36,36,36,36,36,36,36,36,36,36,36,36
1963-06-01,43,43,43,43,43,43,43,43,43,43,43,43
1963-07-01,135,135,135,135,135,135,135,135,135,135,135,135
1963-08-01,116,116,116,116,116,116,116,116,116,116,116,116
1963-09-01,168,168,168,168,168,168,168,168,168,168,168,168
1963-10-01,205,205,205,205,205,205,205,205,205,205,205,205
1963-11-01,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28
1963-12-01,106,106,106,106,106,106,106,106,106,106,106,106
1964-01-01,126,126,126,126,126,126,126,126,126,126,126,126
1964-02-01,266,266,266,266,266,266,266,266,266,266,266,266
1964-03-01,144,144,144,144,144,144,144,144,144,144,144,144
1964-04-01,25,25,25,25,25,25,25,25,25,25,25,25
1964-05-01,167,167,167,167,167,167,167,167,167,167,167,167
1964-06-01,130,130,130,130,130,130,130,130,130,130,130,130
1964-07-01,193,193,193,193,193,193,193,193,193,193,193,193
1964-08-01,207,207,207,207,207,207,207,207,207,207,207,207
1964-09-01,284,284,284,284,284,284,284,284,284,284,284,284
1964-10-01,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
1964-11-01,425,425,425,425,425,425,425,425,425,425,425,425
1964-12-01,203,203,203,203,203,203,203,203,203,203,203,203
1965-01-01,161,161,161,161,161,161,161,161,161,161,161,161
1965-02-01,218,218,218,218,218,218,218,218,218,218,218,218
1965-03-01,203,203,203,203,203,203,203,203,203,203,203,203
1965-04-01,256,256,256,256,256,256,256,256,256,256,256,256
1965-05-01,232,232,232,232,232,232,232,232,232,232,232,232
1965-06-01,199,199,199,199,199,199,199,199,199,199,199,199
1965-07-01,275,275,275,275,275,275,275,275,275,275,275,275
1965-08-01,263,263,263,263,263,263,263,263,263,263,263,263
1965-09-01,262,262,262,262,262,262,262,262,262,262,262,262
1965-10-01,229,229,229,229,229,229,229,229,229,229,229,229
1965-11-01,277,277,277,277,277,277,277,277,277,277,277,277
1965-12-01,326,326,326,326,326,326,326,326,326,326,326,326
1966-01-01,207,207,207,207,207,207,207,207,207,207,207,207
1966-02-01,267,267,267,267,267,267,267,267,267,267,267,267
1966-03-01,396,396,396,396,396,396,396,396,396,396,396,396
